Protein_ID,Accession,Gene_Symbol,Protein_Description,Peptide_Count,Unique_Peptides,Sequence_Coverage_Percent,Molecular_Weight_kDa,Control_Rep1_Intensity,Control_Rep2_Intensity,Control_Rep3_Intensity,Treatment_Rep1_Intensity,Treatment_Rep2_Intensity,Treatment_Rep3_Intensity,Mean_Log2FC_Treatment_vs_Control,P_Value,Adjusted_P_Value_BH
sp|Q33283|GYLW_HUMAN,Q33283,GYLW,GYLW protein,8,4,24.9,49.2,1.90882e+10,1.78969e+10,6.13015e+09,3.02062e+10,2.48542e+10,9.85319e+09,0.607,0.451923,0.999824
sp|O96971|ZVZYW4_HUMAN,O96971,ZVZYW4,ZVZYW4 domain-containing protein,14,11,23.1,58.1,3.56181e+10,3.43908e+10,2.66249e+10,3.20597e+10,3.43222e+10,2.48615e+10,-0.085,0.685269,0.999824
sp|Q59630|HSSU_HUMAN,Q59630,HSSU,HSSU domain-containing protein,5,3,25.7,48.5,1.88031e+10,1.18753e+10,2.25435e+10,1.50943e+10,9.38307e+09,2.529e+10,-0.164,0.760474,0.999824
sp|P40024|FKBJ_HUMAN,P40024,FKBJ,FKBJ subunit alpha,7,6,13,75.4,2.09502e+10,6.4325e+09,1.73934e+10,1.94845e+10,5.87643e+09,1.75113e+10,-0.075,0.926502,0.999824
sp|P10515|IBMXN1_HUMAN,P10515,IBMXN1,IBMXN1 isoform 1,10,5,24,64.8,3.42705e+10,2.45887e+10,3.88826e+09,4.50218e+10,3.09262e+10,6.48642e+09,0.488,0.726666,0.999824
sp|Q56216|WBB_HUMAN,Q56216,WBB,WBB domain-containing protein,5,4,3,102.2,2.5796e+10,2.81336e+10,3.11057e+11,3.38421e+10,3.15743e+10,3.78198e+11,0.28,0.874605,0.999824
sp|O81833|YOP4_HUMAN,O81833,YOP4,YOP4 protein,8,3,31.9,48.4,2.18538e+10,3.58119e+10,2.55854e+10,1.15389e+10,1.81541e+10,1.97254e+10,-0.759,0.0773965,0.999824
sp|O40734|EFB_HUMAN,O40734,EFB,EFB protein,8,7,38.7,73.7,3.96775e+10,1.74674e+11,3.15417e+10,2.35557e+10,1.45246e+11,1.89086e+10,-0.586,0.654937,0.999824
sp|P37856|ROIG_HUMAN,P37856,ROIG,ROIG subunit alpha,10,6,16.4,15.5,8.23222e+09,8.30595e+10,5.6186e+10,5.15617e+09,5.93298e+10,3.22086e+10,-0.654,0.680778,0.999824
sp|Q83870|GDQ_HUMAN,Q83870,GDQ,Mitochondrial GDQ protein,6,5,40.1,26.3,5.84263e+10,1.0669e+10,1.07719e+11,6.66823e+10,7.53764e+09,7.78915e+10,-0.259,0.869083,0.999824
sp|O34162|AQO1_HUMAN,O34162,AQO1,AQO1 isoform 1,9,7,22.9,55.2,6.52006e+09,4.76361e+10,2.36794e+11,1.44395e+10,5.74293e+10,4.46935e+11,0.778,0.727176,0.999824
sp|Q13332|HLOH_HUMAN,Q13332,HLOH,Mitochondrial HLOH protein,5,3,5.5,41.9,1.60107e+10,5.61853e+09,2.8369e+10,4.48468e+10,2.25229e+10,1.18285e+11,1.85,0.130525,0.999824
sp|O76323|NROYC_HUMAN,O76323,NROYC,NROYC subunit alpha,11,6,34.3,50.4,9.15619e+09,4.2535e+10,1.05625e+10,7.58674e+09,4.07105e+10,7.95166e+09,-0.248,0.827446,0.999824
sp|P48990|XTE_HUMAN,P48990,XTE,Putative XTE family protein,10,7,30.8,68.7,1.24795e+11,1.21033e+10,1.91954e+10,1.33367e+11,1.28844e+10,1.67076e+10,-0.005,0.997607,0.999824
sp|Q19873|IRWNG_HUMAN,Q19873,IRWNG,IRWNG protein,12,9,39.8,35.7,5.97549e+10,7.73588e+09,3.32546e+10,2.35262e+10,2.99557e+09,1.02447e+10,-1.471,0.298122,0.999824
sp|O92542|QVB_HUMAN,O92542,QVB,Putative QVB family protein,10,9,22.1,42.8,9.78932e+10,5.30819e+09,3.18605e+10,1.21142e+11,4.64314e+09,2.78973e+10,-0.026,0.989443,0.999824
sp|P95761|ZELSO5_HUMAN,P95761,ZELSO5,ZELSO5 homolog,11,6,21.5,31.6,3.43505e+10,5.78907e+10,7.68894e+09,3.1001e+10,6.20446e+10,6.49513e+09,-0.097,0.944027,0.999824
sp|Q45340|OVP4_HUMAN,Q45340,OVP4,Putative OVP4 family protein,6,5,18.9,78.6,7.07295e+09,4.4642e+10,3.56489e+10,6.71764e+09,4.97451e+10,4.83578e+10,0.174,0.897882,0.999824
sp|O15033|IXU_HUMAN,O15033,IXU,IXU subunit alpha,8,6,16.7,85.8,3.40295e+10,3.74566e+10,1.34195e+10,8.97016e+10,5.88501e+10,2.09688e+10,0.898,0.318931,0.999824
sp|P83324|RRJ_HUMAN,P83324,RRJ,Mitochondrial RRJ protein,10,6,18.9,23.4,3.34144e+10,3.55097e+10,1.29667e+10,3.93516e+10,4.10477e+10,2.29582e+10,0.423,0.489209,0.999824
sp|Q25689|ZTYG5_HUMAN,Q25689,ZTYG5,Mitochondrial ZTYG5 protein,7,3,23.7,52.2,1.71145e+11,4.25452e+10,8.04806e+09,5.23882e+11,1.06888e+11,1.83537e+10,1.377,0.506977,0.999824
sp|O97134|WAT_HUMAN,O97134,WAT,WAT domain-containing protein,8,6,15.2,83.1,5.10746e+10,9.99468e+09,5.81961e+10,4.55343e+10,6.99116e+09,4.66999e+10,-0.333,0.798798,0.999824
sp|P10066|WVGUC_HUMAN,P10066,WVGUC,Mitochondrial WVGUC protein,10,8,8.6,63,8.43799e+10,1.16587e+10,6.94155e+10,1.90513e+11,2.86326e+10,1.40663e+11,1.163,0.402439,0.999824
sp|Q55246|FVLH_HUMAN,Q55246,FVLH,Putative FVLH family protein,8,5,23.3,45.2,4.00254e+10,6.02676e+10,1.76536e+11,4.48995e+10,6.33046e+10,1.57569e+11,0.024,0.978301,0.999824
sp|O17533|AFI_HUMAN,O17533,AFI,Mitochondrial AFI protein,11,7,15.1,24.1,2.07251e+10,1.24659e+10,1.08832e+10,1.82471e+10,1.59621e+10,1.46993e+10,0.202,0.555679,0.999824
sp|Q91788|GBA_HUMAN,Q91788,GBA,GBA isoform 1,9,7,12.1,44.7,6.02581e+10,2.88983e+10,1.96431e+10,1.93397e+10,9.00369e+09,5.27347e+09,-1.74,0.0747041,0.999824
sp|O50581|ASB5_HUMAN,O50581,ASB5,ASB5 protein,6,3,16.1,60.5,2.90348e+10,3.62976e+09,2.1265e+10,2.27159e+10,3.2586e+09,1.44305e+10,-0.356,0.791528,0.999824
sp|P81289|BGRF1_HUMAN,P81289,BGRF1,BGRF1 isoform 1,6,2,19.1,17.8,3.78582e+10,1.1612e+11,1.57756e+10,5.01391e+10,8.80052e+10,1.76904e+10,0.057,0.960416,0.999824
sp|Q16191|MUUEC_HUMAN,Q16191,MUUEC,MUUEC domain-containing protein,6,3,24.4,72.6,1.18017e+10,1.60383e+10,6.6164e+10,1.54604e+10,1.58582e+10,6.55977e+10,0.12,0.912735,0.999824
sp|O93434|MSRZ2_HUMAN,O93434,MSRZ2,MSRZ2 domain-containing protein,15,12,15.6,88.9,3.67995e+10,1.55954e+10,4.42565e+10,2.10968e+10,8.24901e+09,1.60806e+10,-1.061,0.160546,0.999824
sp|P57645|IWGEL_HUMAN,P57645,IWGEL,IWGEL subunit alpha,4,1,24.2,49.6,2.91896e+10,6.97822e+10,1.31271e+10,6.73538e+09,1.82363e+10,2.79909e+09,-2.094,0.116865,0.999824
sp|P82572|HWTEK_HUMAN,P82572,HWTEK,Putative HWTEK family protein,6,3,12,76.2,4.5572e+10,1.66651e+10,1.66266e+10,7.56123e+10,2.53199e+10,3.35559e+10,0.782,0.312271,0.999824
sp|P59036|ISOE_HUMAN,P59036,ISOE,ISOE domain-containing protein,7,4,42,49.7,5.82342e+09,1.69492e+10,6.2373e+10,5.20491e+09,1.44635e+10,4.96926e+10,-0.24,0.869258,0.999824
sp|O99385|XQRDX_HUMAN,O99385,XQRDX,XQRDX homolog,4,3,24.3,50.6,4.25199e+10,2.46285e+10,1.13582e+10,4.64739e+10,2.25339e+10,1.18769e+10,0.021,0.979672,0.999824
sp|Q21772|YNSTR_HUMAN,Q21772,YNSTR,YNSTR protein,13,10,27.1,23,4.29144e+10,2.11845e+10,5.40946e+10,3.24793e+10,1.72587e+10,4.45757e+10,-0.326,0.599726,0.999824
sp|P48498|KOG_HUMAN,P48498,KOG,KOG protein,11,8,27.3,78.8,4.95212e+10,1.12411e+10,9.07789e+09,4.44153e+10,8.16004e+09,6.94665e+09,-0.335,0.785643,0.999824
sp|O69658|PIU_HUMAN,O69658,PIU,PIU isoform 1,6,3,13.1,25.5,1.13326e+11,2.03296e+10,4.02181e+11,7.88111e+10,1.73249e+10,4.12686e+11,-0.239,0.901651,0.999824
sp|Q80152|WGP_HUMAN,Q80152,WGP,WGP protein,11,5,26.4,62.2,3.49328e+10,6.05771e+10,2.68358e+10,3.82552e+10,5.04723e+10,3.0648e+10,0.02,0.963711,0.999824
sp|P90639|JNRV_HUMAN,P90639,JNRV,JNRV protein,11,8,3,78.1,1.17156e+10,2.45235e+10,3.72587e+10,1.12525e+10,2.45677e+10,3.92339e+10,0.006,0.993401,0.999824
sp|Q68531|TEOKV_HUMAN,Q68531,TEOKV,Putative TEOKV family protein,13,11,20.9,87.4,3.28131e+10,7.62167e+09,3.14977e+10,2.63343e+10,6.66389e+09,2.79031e+10,-0.229,0.824736,0.999824
sp|O42567|NBGWL_HUMAN,O42567,NBGWL,NBGWL homolog,7,5,28.1,55.1,5.08116e+10,1.93263e+10,5.65827e+10,2.94946e+10,1.15144e+10,3.49905e+10,-0.742,0.349656,0.999824
sp|P27174|ZPYXP_HUMAN,P27174,ZPYXP,ZPYXP isoform 1,12,8,12.7,8,1.22302e+10,2.09035e+10,1.63034e+10,8.02217e+09,2.17989e+10,2.01748e+10,-0.08,0.886409,0.999824
sp|O69199|VHU_HUMAN,O69199,VHU,Putative VHU family protein,10,4,25,52.8,5.26146e+10,5.28049e+09,1.65238e+10,3.25065e+10,3.131e+09,1.08554e+10,-0.685,0.642566,0.999824
sp|Q52598|VOXT_HUMAN,Q52598,VOXT,VOXT subunit alpha,11,5,26.9,24.8,2.87492e+10,2.68109e+11,4.09378e+09,2.98646e+10,1.70712e+11,4.69258e+09,-0.133,0.956633,0.999824
sp|O71431|BZP_HUMAN,O71431,BZP,BZP domain-containing protein,6,3,31.3,42.2,6.67964e+09,1.03699e+10,4.43348e+10,3.20204e+09,4.59187e+09,1.73968e+10,-1.195,0.342809,0.999824
sp|P34648|XOSJ_HUMAN,P34648,XOSJ,Putative XOSJ family protein,8,3,11.8,38.7,4.42794e+10,4.43353e+10,1.24821e+12,7.25285e+10,7.28611e+10,1.71821e+12,0.63,0.789956,0.999824
sp|P26932|UYTR_HUMAN,P26932,UYTR,UYTR homolog,5,3,27.5,49.7,2.80768e+10,8.4466e+09,3.78837e+10,2.01772e+10,8.89107e+09,3.29825e+10,-0.201,0.827424,0.999824
sp|O22940|UPIL_HUMAN,O22940,UPIL,UPIL isoform 1,3,2,19.7,49.8,3.89412e+10,1.09449e+10,3.08908e+10,1.62113e+10,2.99136e+09,9.16885e+09,-1.629,0.15217,0.999824
sp|Q10178|WYKT_HUMAN,Q10178,WYKT,WYKT isoform 1,5,4,20.1,54.6,3.19186e+10,1.36665e+10,6.21262e+10,5.74427e+10,2.58795e+10,9.7796e+10,0.808,0.392859,0.999824
sp|P75497|YAWOM_HUMAN,P75497,YAWOM,YAWOM subunit alpha,9,6,14,46.8,2.26032e+11,4.99316e+10,3.4959e+09,3.64427e+11,4.97534e+10,5.49648e+09,0.446,0.866083,0.999824
sp|Q32616|OAQDM2_HUMAN,Q32616,OAQDM2,OAQDM2 domain-containing protein,8,5,25.5,41.2,1.64741e+10,1.37826e+10,1.54808e+11,1.28069e+10,1.07782e+10,1.38332e+11,-0.293,0.86628,0.999824
sp|P27118|USVXZ_HUMAN,P27118,USVXZ,USVXZ domain-containing protein,9,7,19.6,63.5,6.29594e+10,7.97601e+09,1.89581e+10,5.35598e+10,5.31538e+09,1.03761e+10,-0.563,0.690927,0.999824
sp|P12795|GCAO_HUMAN,P12795,GCAO,GCAO subunit alpha,9,4,34.2,58.1,2.21161e+11,7.43809e+10,5.79714e+09,5.64044e+10,1.52004e+10,1.06268e+09,-2.237,0.385214,0.999824
sp|Q55264|QUQ_HUMAN,Q55264,QUQ,Putative QUQ family protein,8,7,21.2,79.6,1.63218e+10,9.4033e+10,1.30536e+10,1.9447e+10,1.2624e+11,1.65471e+10,0.34,0.806995,0.999824
sp|O82833|VQG_HUMAN,O82833,VQG,VQG protein,13,10,31.6,83.7,4.12872e+10,5.7476e+10,1.04835e+10,3.85123e+10,6.4408e+10,8.89478e+09,-0.058,0.962039,0.999824
sp|O35363|FITJ_HUMAN,O35363,FITJ,Mitochondrial FITJ protein,12,11,25.1,73.3,3.97145e+10,7.50711e+09,6.63269e+10,6.69119e+10,9.61974e+09,8.1063e+10,0.467,0.749801,0.999824
sp|P13084|YMGJP_HUMAN,P13084,YMGJP,YMGJP homolog,12,8,29.4,26.1,2.49584e+10,1.0361e+09,9.51003e+09,2.3673e+10,1.04907e+09,7.56193e+09,-0.13,0.948589,0.999824
sp|Q86646|UEI_HUMAN,Q86646,UEI,UEI subunit alpha,14,8,40.4,37.8,2.05768e+10,7.6061e+09,1.35524e+11,2.32702e+10,9.51434e+09,1.6179e+11,0.252,0.890274,0.999824
sp|P11129|CUW_HUMAN,P11129,CUW,CUW protein,11,8,18.6,21.7,1.11945e+11,6.30203e+09,8.47663e+10,1.44722e+11,5.91641e+09,8.15886e+10,0.075,0.971115,0.999824
sp|O10731|RYKSB_HUMAN,O10731,RYKSB,RYKSB homolog,12,10,21,71.3,6.33819e+09,1.70592e+10,3.01889e+10,8.78822e+09,1.71225e+10,3.55776e+10,0.238,0.800147,0.999824
sp|P23798|LSGI_HUMAN,P23798,LSGI,LSGI protein,12,8,16.4,57.4,7.87033e+10,2.82478e+10,9.0159e+09,5.1355e+10,2.1582e+10,8.78006e+09,-0.347,0.780844,0.999824
sp|Q75364|DJD5_HUMAN,Q75364,DJD5,DJD5 domain-containing protein,9,5,24.9,50.3,1.29543e+10,5.22653e+10,1.27607e+10,9.67837e+09,3.58806e+10,8.80141e+09,-0.5,0.623023,0.999824
sp|Q42966|RXWXU2_HUMAN,Q42966,RXWXU2,Mitochondrial RXWXU2 protein,9,8,12,39.7,4.68816e+10,8.24589e+10,6.87678e+10,5.79235e+10,1.10973e+11,8.66188e+10,0.356,0.384653,0.999824
sp|Q66827|QCYGI_HUMAN,Q66827,QCYGI,Putative QCYGI family protein,11,8,21.6,27.7,4.64102e+10,7.82403e+10,7.5985e+10,8.06156e+10,1.20347e+11,1.21848e+11,0.7,0.0923803,0.999824
sp|O42330|WGMP_HUMAN,O42330,WGMP,WGMP protein,11,10,5.1,27.2,3.76086e+09,2.27587e+10,4.77057e+10,3.74161e+09,1.97065e+10,3.6185e+10,-0.205,0.89562,0.999824
sp|Q54130|UMVPI2_HUMAN,Q54130,UMVPI2,UMVPI2 protein,16,9,27.7,52.7,1.2938e+11,7.6823e+09,2.2358e+11,1.69633e+11,1.07867e+10,2.99862e+11,0.435,0.847062,0.999824
sp|O11605|VCYQ_HUMAN,O11605,VCYQ,VCYQ homolog,11,8,25.1,48.1,3.23235e+10,1.45344e+10,2.84042e+10,2.28192e+10,1.03985e+10,1.53197e+10,-0.625,0.266928,0.999824
sp|Q38022|UJLJN_HUMAN,Q38022,UJLJN,Mitochondrial UJLJN protein,11,4,32.1,83.4,2.67616e+10,9.92667e+09,4.20491e+10,4.76014e+10,1.38402e+10,5.34324e+10,0.552,0.562808,0.999824
sp|P80610|FRHP_HUMAN,P80610,FRHP,FRHP isoform 1,9,7,20.9,48.6,3.60185e+10,5.97158e+10,4.97178e+10,2.82603e+10,6.25303e+10,3.80711e+10,-0.223,0.608954,0.999824
sp|Q49867|LTIS_HUMAN,Q49867,LTIS,LTIS subunit alpha,9,8,9.3,8,1.15622e+10,1.51281e+10,5.59259e+10,5.10734e+10,4.79232e+10,2.03738e+11,1.891,0.125556,0.999824
sp|O35791|RQM_HUMAN,O35791,RQM,RQM protein,10,7,23.1,44.7,3.78545e+10,1.32477e+10,6.51267e+10,4.44552e+10,1.63309e+10,9.75523e+10,0.372,0.730253,0.999824
sp|P78469|WEFU_HUMAN,P78469,WEFU,WEFU isoform 1,6,4,25,76.1,3.50833e+10,1.42113e+10,2.1512e+10,3.67333e+10,1.45728e+10,2.3798e+10,0.083,0.885403,0.999824
sp|Q14239|VHJ_HUMAN,Q14239,VHJ,VHJ homolog,10,5,30.8,20.3,2.164e+10,2.13074e+10,7.94804e+10,1.27482e+10,1.16887e+10,5.55671e+10,-0.715,0.499957,0.999824
sp|P29773|EFMSZ_HUMAN,P29773,EFMSZ,EFMSZ subunit alpha,8,7,25,73.2,9.50496e+10,1.46606e+10,4.57793e+10,7.89477e+10,1.37586e+10,3.97226e+10,-0.188,0.869537,0.999824
sp|Q78968|YMVK4_HUMAN,Q78968,YMVK4,YMVK4 homolog,11,5,20.1,67.9,3.66312e+10,2.32566e+10,2.91872e+10,2.83016e+10,1.44485e+10,1.73194e+10,-0.604,0.167353,0.999824
sp|P61415|CAHM_HUMAN,P61415,CAHM,CAHM protein,4,3,26.1,16,2.70514e+10,5.23885e+10,1.94232e+10,6.3212e+10,1.75862e+11,4.34001e+10,1.377,0.142891,0.999824
sp|O70430|BDOHZ1_HUMAN,O70430,BDOHZ1,Mitochondrial BDOHZ1 protein,8,5,23.2,69.9,4.80331e+10,1.16874e+10,2.14674e+11,9.1001e+10,1.75468e+10,4.46254e+11,0.855,0.662158,0.999824
sp|P11515|PUFN_HUMAN,P11515,PUFN,PUFN domain-containing protein,7,7,20.2,36.5,9.68634e+09,7.86597e+09,8.43391e+10,6.06552e+09,4.35616e+09,3.9501e+10,-0.874,0.58583,0.999824
sp|O66240|YFF_HUMAN,O66240,YFF,Putative YFF family protein,5,4,20.7,58.2,2.61667e+10,1.07993e+10,2.85752e+10,2.81003e+10,1.1818e+10,3.50207e+10,0.175,0.802269,0.999824
sp|Q25187|WONEG_HUMAN,Q25187,WONEG,WONEG isoform 1,10,7,24.5,110,1.61793e+10,1.4693e+10,6.19505e+10,1.23557e+10,7.82239e+09,4.10328e+10,-0.631,0.554284,0.999824
sp|P15586|EBA_HUMAN,P15586,EBA,EBA isoform 1,5,5,13.6,47.7,1.3458e+10,7.02355e+10,2.28666e+10,2.36363e+10,1.96596e+11,5.83496e+10,1.216,0.345365,0.999824
sp|Q41186|HGSS_HUMAN,Q41186,HGSS,HGSS homolog,6,3,22.7,74.4,1.16027e+10,1.92084e+10,4.00315e+10,9.14637e+09,1.33035e+10,3.99721e+10,-0.292,0.741476,0.999824
sp|P93087|CFDG3_HUMAN,P93087,CFDG3,CFDG3 protein,11,7,21.3,78,3.38419e+10,1.59553e+10,1.65386e+10,2.91274e+10,1.50959e+10,1.85868e+10,-0.043,0.929418,0.999824
sp|O36928|YUQ_HUMAN,O36928,YUQ,Putative YUQ family protein,9,6,20.3,30.9,1.50746e+10,1.16408e+10,3.37987e+10,1.6549e+10,1.33277e+10,4.11117e+10,0.204,0.779035,0.999824
sp|O46561|MHK_HUMAN,O46561,MHK,MHK isoform 1,10,6,27.5,90.6,1.29137e+10,2.13978e+10,3.61487e+10,1.29668e+10,2.09768e+10,4.00852e+10,0.042,0.95051,0.999824
sp|P85483|LPXT_HUMAN,P85483,LPXT,LPXT protein,4,3,19.5,34.9,1.15826e+11,6.24517e+10,2.25739e+10,1.2832e+11,6.7343e+10,3.44237e+10,0.288,0.760151,0.999824
sp|Q91395|FRW_HUMAN,Q91395,FRW,FRW protein,9,4,11.2,48,2.59902e+10,9.72019e+09,2.60032e+10,2.19349e+10,8.0608e+09,1.92727e+10,-0.316,0.65527,0.999824
sp|Q30039|UPV_HUMAN,Q30039,UPV,UPV domain-containing protein,13,10,3,40.4,3.34076e+10,6.22548e+09,6.48356e+09,1.72697e+10,3.22255e+09,2.51318e+09,-1.09,0.409565,0.999824
